Ticker,Net Income, Assets ,Shareholder's Equity,PB,ROE,Log_Assets,Log_pb,eq_ratio
JPM,"58,471","4,002,814","344,758",1.96,0.1696001253,15.20250817,0.6729444732,0.08612890831
BAC,"30,509","3,261,519","295,559",1.14,0.1032247369,14.9977036,0.1310282624,0.09062004545
WFC,"19,722","1,929,845","181,066",1.29,0.1089216087,14.47295025,0.2546422184,0.09382411541
C,"12,682","2,352,945","209,366",0.64,0.06057335002,14.67117829,-0.4462871026,0.08898040541
GS,"14,276","1,675,972","122,397",1.54,0.1166368457,14.33190385,0.4317824164,0.07303045636
MS,"13,390","1,215,071","105,428",1.93,0.1270061084,14.01031307,0.6575200029,0.08676694613
USB,"6,329","678,318","59,040",1.26,0.1071985095,13.42737148,0.231111721,0.0870388225
PNC,"5,889","560,038","54,469",1.41,0.1081165434,13.23575992,0.3435897044,0.09725947168
TFC,"4,818","531,176","63,679",0.9,0.07566073588,13.1828487,-0.1053605157,0.1198830519
BK,"4,530","416,064","41,764",1.34,0.108466622,12.93859437,0.292669614,0.1003787879
STT,"2,687","353,240","25,326",1.14,0.1060965016,12.77490299,0.1310282624,0.07169629714
SCHW,"5,942","479,843","48,375",2.8,0.1228320413,13.08121425,1.029619417,0.1008142247
COF,"4,750","490,144","60,784",1.12,0.07814556462,13.1024545,0.1133286853,0.1240125351
MTB,"2,588","208,105","29,027",1.08,0.08915836979,12.24579804,0.07696104114,0.1394824728
FITB,"2,314","212,927","19,645",1.44,0.1177907865,12.26870466,0.3646431136,0.09226166714
RF,"1,893","157,302","17,910",1.19,0.1056951424,11.9659228,0.1739533071,0.1138574208
KEY,161,"187,168","18,176",1.04,0.008857834507,12.13976189,0.03922071315,0.0971106172
HBAN,"1,940","204,230","19,782",1.2,0.09806895157,12.22700209,0.1823215568,0.09686138178
CFG,"1,509","217,521","24,254",0.8,0.0622165416,12.29005068,-0.2231435513,0.111501878
CMA,698,"79,297","6,543",1.24,0.1066788935,11.28095558,0.2151113796,0.08251257929
ZION,784,"88,775","6,124",1.31,0.1280209014,11.39386036,0.2700271372,0.06898338496
WAL,787.7,"80,934","6,707",1.36,0.117444461,11.30138929,0.3074846997,0.08286999283
FHN,982,"83,876","9,142",1.17,0.1074163203,11.3370948,0.1570037488,0.1089942296
EWBC,"1,166","75,976","7,723",1.72,0.1509775994,11.23817278,0.5423242908,0.1016505212
OZK,716.46,"38,259","5,706",0.89,0.1255625657,10.55213411,-0.1165338163,0.1491413785
BPOP,614.21,"73,045","5,613",1.2,0.1094263317,11.19883097,0.1823215568,0.07684304196
UBSI,373,"30,024","4,993",1.01,0.07470458642,10.30975234,0.009950330853,0.1663002931
WAFD,200.04,"28,060","3,000",0.94,0.06668,10.24210035,-0.06187540372,0.1069137562
BOKF,523.57,"49,686","5,551",1.23,0.09431994235,10.81347848,0.2070141694,0.1117216117
ALLY,668,"191,836","13,903",0.79,0.04804718406,12.16439612,-0.2357223335,0.07247336266
SYF,"3,499","119,463","16,580",1.53,0.2110373945,11.69076198,0.4252677354,0.1387877418
DFS,-4.4,"1,047",229,1.11,-0.0192139738,6.953684211,0.1043600153,0.2187201528
AXP,"10,129","271,461","30,264",6.91,0.3346880782,12.51157376,1.932969638,0.1114856278
TRV,"4,999","133,189","27,864",1.96,0.1794071203,11.79952445,0.6729444732,0.209206466
AIG,"-1,404","161,322","42,550",1.07,-0.03299647474,11.99115765,0.06765864847,0.2637581979
MET,"4,426","677,457","27,703",2.05,0.1597660903,13.42610136,0.7178397932,0.0408926323
PRU,"2,727","735,587","30,126",1.4,0.09051981677,13.5084241,0.3364722366,0.04095504679
CB,"9,272","246,548","68,394",1.63,0.1355674474,12.41531198,0.4885800148,0.277406428
ALL,"4,667","111,617","21,367",2.39,0.2184209295,11.62282865,0.8712933659,0.1914314128
AJG,"1,463","64,255","20,180",3.51,0.0724975223,11.07061482,1.255616037,0.3140611626
WRB,"1,756","40,567","8,407",2.65,0.2088735577,10.61071021,0.97455964,0.2072374097
MTG,762.99,"6,547","5,172",1.16,0.1475232019,8.786762208,0.1484200051,0.7899801436
RDN,604.44,"8,664","4,624",1.02,0.1307179931,9.066931789,0.0198026273,0.5337026777
NTRS,"2,031","155,508","12,788",1.59,0.1588207695,11.95445246,0.4637340162,0.08223371145
VLY,380.27,"62,492","7,435",0.68,0.05114593141,11.04279383,-0.3856624808,0.1189752288
FULT,288.74,"32,072","3,197",1.1,0.09031592118,10.37573865,0.0953101798,0.09968196558
PB,479.39,"39,567","7,438",0.97,0.06445146545,10.58575072,-0.03045920748,0.1879849369
CUBI,181.47,"22,308","1,837",0.83,0.09878606424,10.01270064,-0.1863295782,0.08234714004
TBBK,217.54,"8,728",789.78,3.19,0.2754437945,9.074291528,1.160020917,0.09048808433
SFBS,227.24,"17,352","1,617",2.86,0.1405318491,9.761463053,1.050821625,0.09318810512
TCBI,77.51,"30,732","3,368",1.07,0.02301365796,10.33305974,0.06765864847,0.1095926071
CFR,582.54,"52,520","3,899",2.21,0.1494075404,10.86894933,0.7929925155,0.07423838538
ONB,539.19,"53,552","6,340",1.09,0.08504574132,10.88840842,0.08617769624,0.1183896026
CADE,523.6,"47,019","5,570",1.13,0.09400359066,10.75830705,0.1222176327,0.1184627491
BANF,216.35,"13,554","1,621",2.4,0.1334669957,9.514436986,0.8754687374,0.1195956913
CVBF,200.72,"15,154","2,186",1.37,0.09182067704,9.626019802,0.3148107398,0.1442523426
FFBC,228.83,"18,570","2,438",1.05,0.09385972108,9.829302654,0.04879016417,0.1312870221
SMBC,50.18,"5,020",544.69,1.05,0.09212579632,8.521185213,0.04879016417,0.1085039841
SBCF,120.99,"15,176","2,183",1.07,0.05542372881,9.627470512,0.06765864847,0.1438455456
INDB,192.08,"19,374","2,993",0.91,0.06417641163,9.87168724,-0.09431067947,0.1544853928
WSFS,263.67,"20,814","2,579",1.21,0.1022373013,9.943381116,0.1906203596,0.1239069857
SSB,534.78,"46,381","5,890",1.29,0.09079456706,10.74464517,0.2546422184,0.1269916561
ABCB,358.69,"26,262","3,752",1.15,0.09559968017,10.17587831,0.1397619424,0.1428680222
ASB,123.15,"43,023","4,606",0.84,0.02673686496,10.66949014,-0.1743533871,0.1070590149
BOH,149.99,"23,601","1,668",1.7,0.08992206235,10.06904436,0.5306282511,0.0706749714
WTFC,695.05,"64,880","6,344",1.31,0.1095602144,11.08029469,0.2700271372,0.09778051788
FRME,201.4,"18,312","2,305",1.01,0.08737527115,9.815311862,0.009950330853,0.125873744
HAFC,62.2,"7,678",732.17,0.97,0.08495294809,8.946114376,-0.03045920748,0.09535946861
